@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0001616	U+1215F	oCC
o0001620	U+12160	oCC
o0001622	U+12161	oCC
o0001628	U+12162	oCC
o0001624	U+12163	oCC
o0001626	U+12164	oCC
o0001627	U+12165	oCC
o0001594	U+12166	oCC
o0001631	U+12167	oCC
o0001630	U+12168	oCC
o0001595	U+12169	oCC
o0001632	U+1216A	oCC
o0001635	U+1216B	oCC
o0001634	U+1216C	oCC
o0001637	U+1216D	oCC
o0001638	U+1216E	oCC
o0001639	U+1216F	oCC
o0001643	U+12170	oCC
o0001641	U+12171	oCC
o0001645	U+12172	oCC
o0001647	U+12173	oCC
o0001648	U+12174	oCC
o0001598	U+12175	oCC
o0001601	U+12176	oCC
o0001603	U+12177	oCC
o0001649	U+12178	oCC
o0001604	U+12179	oCC
o0001650	U+1217A	oCC
o0001651	U+1217B	oCC
o0001653	U+1217C	oCC
o0001654	U+1217D	oCC
o0001656	U+1217E	oCC
o0001655	U+1217F	oCC
o0001672	U+12180	oCC
o0001674	U+12181	oCC
o0001675	U+12182	oCC
o0001676	U+12183	oCC
o0001657	U+12184	oCC
o0001658	U+12185	oCC
o0001659	U+12186	oCC
o0001666	U+12187	oCC
o0001668	U+12188	oCC
o0001662	U+12189	oCC
o0001663	U+1218A	oCC
o0001667	U+1218B	oCC
o0001671	U+1218C	oCC
o0000277	U+1218D	oCC
o0001677	U+1218E	oCC
o0000263	U+1218F	oCC
o0000265	U+12190	oCC
o0000266	U+12191	oCC
o0000267	U+12192	oCC
o0000268	U+12193	oCC
o0001571	U+12194	oCC
o0000269	U+12195	oCC
o0001575	U+12196	oCC
o0000270	U+12197	oCC
o0001578	U+12198	oCC
o0001576	U+12199	oCC
o0000272	U+1219A	oCC
o0000273	U+1219B	oCC
o0000275	U+1219C	oCC
o0001581	U+1219D	oCC
o0000625	U+1219E	oCC
o0000278	U+1219F	oCC
o0000279	U+121A0	oCC
o0001741	U+121A1	oCC
o0001743	U+121A2	oCC
o0001742	U+121A3	oCC
o0000281	U+121A4	oCC
o0000282	U+121A5	oCC
o0000284	U+121A6	oCC
o0000286	U+121A7	oCC
o0000285	U+121A8	oCC
o0001740	U+121A9	oCC
o0000289	U+121AA	oCC
o0001746	U+121AB	oCC
o0000296	U+121AC	oCC
o0000297	U+121AD	oCC
o0000298	U+121AE	oCC
o0000299	U+121AF	oCC
o0000291	U+121B0	oCC
o0000293	U+121B2	oCC
o0000294	U+121B3	oCC
o0001762	U+121B4	oCC
o0000295	U+121B5	oCC
o0000300	U+121B6	oCC
o0000305	U+121B7	oCC
o0000306	U+121B8	oCC
o0001800	U+121B9	oCC
o0001775	U+121BA	oCC
o0001776	U+121BB	oCC
o0001777	U+121BC	oCC
o0001798	U+121BD	oCC
o0001799	U+121BE	oCC
o0001802	U+121BF	oCC
o0001804	U+121C0	oCC
o0001805	U+121C1	oCC
o0001806	U+121C2	oCC
o0001807	U+121C3	oCC
o0001809	U+121C4	oCC
o0001808	U+121C5	oCC
o0001811	U+121C6	oCC
o0001778	U+121C7	oCC
o0001815	U+121C8	oCC
o0001814	U+121C9	oCC
o0001816	U+121CA	oCC
o0001817	U+121CB	oCC
o0001818	U+121CC	oCC
o0001781	U+121CD	oCC
o0023056	U+121CE	oCC
o0001820	U+121CF	oCC
o0001819	U+121D0	oCC
o0001822	U+121D1	oCC
o0001821	U+121D2	oCC
o0001783	U+121D3	oCC
o0001823	U+121D4	oCC
o0001801	U+121D5	oCC
o0001828	U+121D6	oCC
o0001827	U+121D7	oCC
o0001829	U+121D8	oCC
o0001784	U+121D9	oCC
o0001830	U+121DA	oCC
o0001831	U+121DB	oCC
o0001791	U+121DC	oCC
o0001793	U+121DD	oCC
o0001794	U+121DE	oCC
o0001843	U+121DF	oCC
o0001795	U+121E0	oCC
o0001832	U+121E1	oCC
o0001833	U+121E2	oCC
o0001834	U+121E3	oCC
o0001785	U+121E4	oCC
o0001838	U+121E5	oCC
o0001786	U+121E6	oCC
o0001788	U+121E7	oCC
o0001789	U+121E8	oCC
o0001836	U+121E9	oCC
o0001839	U+121EA	oCC
o0000650	U+121EB	oCC
o0000307	U+121EC	oCC
o0001853	U+121ED	oCC
o0001851	U+121EE	oCC
o0000308	U+121EF	oCC
o0001847	U+121F0	oCC
o0000309	U+121F1	oCC
o0000422	U+121F2	oCC
o0000423	U+121F3	oCC
o0000424	U+121F4	oCC
o0001906	U+121F5	oCC
o0001904	U+121F6	oCC
o0000425	U+121F7	oCC
o0000426	U+121F8	oCC
o0000431	U+121FA	oCC
o0000433	U+121FB	oCC
o0001928	U+121FC	oCC
o0000439	U+121FD	oCC
o0001964	U+121FE	oCC
o0001967	U+121FF	oCC
o0001971	U+12200	oCC
o0001970	U+12201	oCC
o0001973	U+12202	oCC
o0001975	U+12203	oCC
o0001976	U+12204	oCC
o0001977	U+12205	oCC
o0001978	U+12206	oCC
o0001958	U+12207	oCC
o0001979	U+12208	oCC
o0001959	U+12209	oCC
o0001980	U+1220A	oCC
o0001960	U+1220B	oCC
o0001981	U+1220C	oCC
o0001982	U+1220D	oCC
o0001962	U+1220E	oCC
o0001963	U+1220F	oCC
o0001985	U+12210	oCC
o0000441	U+12211	oCC
o0001929	U+12212	oCC
o0001953	U+12213	oCC
o0000651	U+12214	oCC
o0000440	U+12215	oCC
o0000443	U+12216	oCC
o0000434	U+12217	oCC
o0001912	U+12218	oCC
o0001917	U+12219	oCC
o0000435	U+1221A	oCC
o0000436	U+1221B	oCC
o0000437	U+1221C	oCC
o0000438	U+1221D	oCC
o0001926	U+1221E	oCC
o0001924	U+1221F	oCC
o0000444	U+12220	oCC
o0001989	U+12221	oCC
o0000445	U+12222	oCC
o0000452	U+12223	oCC
o0000446	U+12224	oCC
o0000448	U+12225	oCC
o0000449	U+12226	oCC
o0000451	U+12227	oCC
o0000453	U+12228	oCC
o0000454	U+12229	oCC
o0000455	U+1222A	oCC
o0000456	U+1222B	oCC
o0000457	U+1222C	oCC
o0002016	U+1222D	oCC
o0000458	U+1222E	oCC
o0000459	U+1222F	oCC
o0000460	U+12230	oCC
o0000461	U+12231	oCC
o0000463	U+12232	oCC
o0002032	U+12233	oCC
o0002033	U+12234	oCC
o0002035	U+12235	oCC
o0002024	U+12236	oCC
o0002025	U+12237	oCC
o0002021	U+12238	oCC
o0000466	U+12239	oCC
o0002049	U+1223A	oCC
o0002048	U+1223B	oCC
o0002050	U+1223C	oCC
o0000467	U+1223D	oCC
o0000469	U+1223E	oCC
o0000476	U+1223F	oCC
o0000470	U+12240	oCC
o0000471	U+12241	oCC
o0002057	U+12242	oCC
o0002052	U+12243	oCC
o0000473	U+12244	oCC
o0000130	U+12245	oCC
o0000474	U+12246	oCC
o0000475	U+12247	oCC
o0000477	U+12248	oCC
o0002070	U+12249	oCC
o0002071	U+1224A	oCC
o0000478	U+1224B	oCC
o0000479	U+1224C	oCC
o0002120	U+1224D	oCC
o0000486	U+1224E	oCC
o0000482	U+1224F	oCC
o0002081	U+12250	oCC
o0002080	U+12251	oCC
o0000483	U+12252	oCC
o0002095	U+12253	oCC
o0002096	U+12254	oCC
o0002083	U+12255	oCC
o0002102	U+12256	oCC
o0002085	U+12257	oCC
o0002109	U+12258	oCC
o0002111	U+12259	oCC
o0002118	U+1225A	oCC
o0002089	U+1225B	oCC
o0002093	U+1225C	oCC
o0002094	U+1225D	oCC
o0002088	U+1225E	oCC
o0002114	U+1225F	oCC
o0000485	U+12260	oCC
o0000487	U+12261	oCC
o0000491	U+12262	oCC
o0000488	U+12263	oCC
o0002126	U+12264	oCC
o0002127	U+12265	oCC
o0002129	U+12266	oCC
o0000630	U+12267	oCC
o0002130	U+12268	oCC
o0000489	U+12269	oCC
o0002123	U+1226A	oCC
o0002122	U+1226B	oCC
o0002121	U+1226C	oCC
o0000490	U+1226D	oCC
o0002146	U+1226E	oCC
o0002147	U+1226F	oCC
o0002148	U+12270	oCC
o0002149	U+12271	oCC
o0002150	U+12272	oCC
o0002151	U+12273	oCC
o0002152	U+12274	oCC
o0002153	U+12275	oCC
o0002154	U+12276	oCC
o0002155	U+12277	oCC
o0002162	U+12278	oCC
o0002161	U+12279	oCC
o0000497	U+1227A	oCC
o0000498	U+1227B	oCC
o0000499	U+1227C	oCC
o0000500	U+1227D	oCC
o0000501	U+1227E	oCC
o0000502	U+1227F	oCC
o0002247	U+12280	oCC
o0002246	U+12281	oCC
o0002248	U+12282	oCC
o0002249	U+12283	oCC
o0002250	U+12284	oCC
o0002252	U+12285	oCC
o0002251	U+12286	oCC
o0002253	U+12287	oCC
o0002254	U+12288	oCC
o0002235	U+12289	oCC
o0000503	U+1228A	oCC
o0002243	U+1228B	oCC
o0002244	U+1228C	oCC
o0002245	U+1228D	oCC
