@label	RSP
@title	Oracc RSP font
@page	/osl/Fonts/Oracc-RSP/
@font	Oracc-RSP.ttf
@css	ofs-rsp
@mag	110
@list	RSP
o0000426	U+121F8	RSP
o0000431	U+121FA	RSP
o0000433	U+121FB	RSP
o0000439	U+121FD	RSP
o0000439	U+121FD	RSP
o0001967	U+121FF	RSP
o0000440	U+12215	RSP
o0000440	U+12215	RSP
o0000443	U+12216	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000434	U+12217	RSP
o0000436	U+1221B	RSP
o0000436	U+1221B	RSP
o0000437	U+1221C	RSP
o0000437	U+1221C	RSP
o0000437	U+1221C	RSP
o0000437	U+1221C	RSP
o0000437	U+1221C	RSP
o0000438	U+1221D	RSP
o0000438	U+1221D	RSP
o0000444	U+12220	RSP
o0000444	U+12220	RSP
o0000444	U+12220	RSP
o0000444	U+12220	RSP
o0000444	U+12220	RSP
o0000445	U+12222	RSP
o0000445	U+12222	RSP
o0000452	U+12223	RSP
o0000446	U+12224	RSP
o0000446	U+12224	RSP
o0000446	U+12224	RSP
o0000446	U+12224	RSP
o0000446	U+12224	RSP
o0000448	U+12225	RSP
o0000448	U+12225	RSP
o0000449	U+12226	RSP
o0000453	U+12228	RSP
o0000454	U+12229	RSP
o0000454	U+12229	RSP
o0000454	U+12229	RSP
o0000454	U+12229	RSP
o0000454	U+12229	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000455	U+1222A	RSP
o0000456	U+1222B	RSP
o0000456	U+1222B	RSP
o0000456	U+1222B	RSP
o0000456	U+1222B	RSP
o0000456	U+1222B	RSP
o0000457	U+1222C	RSP
o0000457	U+1222C	RSP
o0000457	U+1222C	RSP
o0000457	U+1222C	RSP
o0000457	U+1222C	RSP
o0002016	U+1222D	RSP
o0000458	U+1222E	RSP
o0000459	U+1222F	RSP
o0000459	U+1222F	RSP
o0000461	U+12231	RSP
o0000463	U+12232	RSP
o0000463	U+12232	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0002021	U+12238	RSP
o0000466	U+12239	RSP
o0000466	U+12239	RSP
o0000469	U+1223E	RSP
o0000469	U+1223E	RSP
o0000469	U+1223E	RSP
o0000469	U+1223E	RSP
o0000469	U+1223E	RSP
o0000476	U+1223F	RSP
o0000476	U+1223F	RSP
o0000470	U+12240	RSP
o0000473	U+12244	RSP
o0000473	U+12244	RSP
o0000130	U+12245	RSP
o0000130	U+12245	RSP
o0000130	U+12245	RSP
o0000130	U+12245	RSP
o0000130	U+12245	RSP
o0000474	U+12246	RSP
o0000474	U+12246	RSP
o0000474	U+12246	RSP
o0000474	U+12246	RSP
o0000474	U+12246	RSP
o0000477	U+12248	RSP
o0000477	U+12248	RSP
o0000478	U+1224B	RSP
o0000478	U+1224B	RSP
o0000479	U+1224C	RSP
o0000479	U+1224C	RSP
o0000482	U+1224F	RSP
o0000482	U+1224F	RSP
o0000482	U+1224F	RSP
o0000482	U+1224F	RSP
o0000482	U+1224F	RSP
o0002081	U+12250	RSP
o0002081	U+12250	RSP
o0000483	U+12252	RSP
o0002109	U+12258	RSP
o0002109	U+12258	RSP
o0002109	U+12258	RSP
o0002109	U+12258	RSP
o0002109	U+12258	RSP
o0002118	U+1225A	RSP
o0000485	U+12260	RSP
o0000485	U+12260	RSP
o0000485	U+12260	RSP
o0000485	U+12260	RSP
o0000485	U+12260	RSP
o0000487	U+12261	RSP
o0000487	U+12261	RSP
o0000491	U+12262	RSP
o0000488	U+12263	RSP
o0000488	U+12263	RSP
o0002123	U+1226A	RSP
o0002123	U+1226A	RSP
o0000490	U+1226D	RSP
o0000490	U+1226D	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002146	U+1226E	RSP
o0002154	U+12276	RSP
o0002154	U+12276	RSP
o0000497	U+1227A	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000498	U+1227B	RSP
o0000499	U+1227C	RSP
o0000499	U+1227C	RSP
o0000500	U+1227D	RSP
o0000500	U+1227D	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000502	U+1227F	RSP
o0000503	U+1228A	RSP
o0000503	U+1228A	RSP
o0002245	U+1228D	RSP
o0002245	U+1228D	RSP
o0000510	U+1228F	RSP
o0000510	U+1228F	RSP
o0000510	U+1228F	RSP
o0000510	U+1228F	RSP
o0000510	U+1228F	RSP
o0000514	U+12291	RSP
o0000514	U+12291	RSP
o0000516	U+12292	RSP
o0000516	U+12292	RSP
o0000516	U+12292	RSP
o0000516	U+12292	RSP
o0000516	U+12292	RSP
o0000517	U+12293	RSP
o0000518	U+12295	RSP
o0002277	U+12299	RSP
o0002279	U+1229A	RSP
o0000519	U+122A8	RSP
o0000522	U+122A9	RSP
o0000523	U+122AB	RSP
o0000523	U+122AB	RSP
o0000523	U+122AB	RSP
o0000523	U+122AB	RSP
o0000523	U+122AB	RSP
o0000524	U+122AC	RSP
o0002824	U+122AD	RSP
o0002824	U+122AD	RSP
o0002828	U+122AE	RSP
o0002828	U+122AE	RSP
o0002828	U+122AE	RSP
o0002828	U+122AE	RSP
o0002828	U+122AE	RSP
o0002829	U+122B7	RSP
o0002829	U+122B7	RSP
o0002829	U+122B7	RSP
o0002829	U+122B7	RSP
o0002829	U+122B7	RSP
o0002831	U+122BA	RSP
o0002831	U+122BA	RSP
o0002831	U+122BA	RSP
o0002831	U+122BA	RSP
o0002831	U+122BA	RSP
o0002714	U+122BB	RSP
o0002832	U+122BE	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002834	U+122C0	RSP
o0002837	U+122C3	RSP
o0002837	U+122C3	RSP
o0002743	U+122C4	RSP
o0002743	U+122C4	RSP
o0002838	U+122C6	RSP
o0002838	U+122C6	RSP
o0002752	U+122CB	RSP
o0002753	U+122CD	RSP
o0002755	U+122CE	RSP
o0002839	U+122D2	RSP
o0002842	U+122D6	RSP
o0002842	U+122D6	RSP
o0002845	U+122D7	RSP
o0002845	U+122D7	RSP
o0002764	U+122D8	RSP
o0002848	U+122DA	RSP
o0002848	U+122DA	RSP
o0002848	U+122DA	RSP
o0002848	U+122DA	RSP
o0002848	U+122DA	RSP
o0000525	U+122DB	RSP
o0000526	U+122DC	RSP
o0000526	U+122DC	RSP
o0000527	U+122DD	RSP
o0000528	U+122DE	RSP
o0000528	U+122DE	RSP
o0000529	U+122E0	RSP
o0000529	U+122E0	RSP
o0000529	U+122E0	RSP
o0000529	U+122E0	RSP
o0000529	U+122E0	RSP
o0000530	U+122E1	RSP
o0000530	U+122E1	RSP
o0000530	U+122E1	RSP
o0000530	U+122E1	RSP
o0000530	U+122E1	RSP
o0000531	U+122E2	RSP
o0000531	U+122E2	RSP
o0000531	U+122E2	RSP
o0000531	U+122E2	RSP
o0000531	U+122E2	RSP
o0000532	U+122E4	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000535	U+122E6	RSP
o0000536	U+122E7	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000537	U+122E8	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000539	U+122E9	RSP
o0000541	U+122EB	RSP
o0000541	U+122EB	RSP
o0000541	U+122EB	RSP
o0000541	U+122EB	RSP
o0000541	U+122EB	RSP
o0002407	U+122ED	RSP
o0000544	U+122F0	RSP
o0000546	U+122F3	RSP
o0000546	U+122F3	RSP
o0000546	U+122F3	RSP
o0000546	U+122F3	RSP
o0000546	U+122F3	RSP
o0000547	U+122FA	RSP
o0000547	U+122FA	RSP
o0000547	U+122FA	RSP
o0000547	U+122FA	RSP
o0000547	U+122FA	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000548	U+122FB	RSP
o0000550	U+122FC	RSP
o0000550	U+122FC	RSP
o0000550	U+122FC	RSP
o0000550	U+122FC	RSP
o0000550	U+122FC	RSP
o0000551	U+122FD	RSP
o0000551	U+122FD	RSP
o0000551	U+122FD	RSP
o0000551	U+122FD	RSP
o0000551	U+122FD	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000553	U+122FE	RSP
o0000555	U+12300	RSP
o0000555	U+12300	RSP
o0000555	U+12300	RSP
o0000555	U+12300	RSP
o0000555	U+12300	RSP
o0002726	U+12301	RSP
o0002726	U+12301	RSP
o0000556	U+12305	RSP
o0000556	U+12305	RSP
o0000556	U+12305	RSP
o0000556	U+12305	RSP
o0000556	U+12305	RSP
o0000557	U+12306	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
