@label	oNOTO
@font	/home/oracc/www/fonts/Oracc-Noto-SansCuneiform.ttf
@css	ofs-noto
o0001598	U+12175	oNOTO
o0001601	U+12176	oNOTO
o0001603	U+12177	oNOTO
o0001649	U+12178	oNOTO
o0001604	U+12179	oNOTO
o0001650	U+1217A	oNOTO
o0001651	U+1217B	oNOTO
o0001653	U+1217C	oNOTO
o0001654	U+1217D	oNOTO
o0001656	U+1217E	oNOTO
o0001655	U+1217F	oNOTO
o0001672	U+12180	oNOTO
o0001674	U+12181	oNOTO
o0001675	U+12182	oNOTO
o0001676	U+12183	oNOTO
o0001657	U+12184	oNOTO
o0001658	U+12185	oNOTO
o0001659	U+12186	oNOTO
o0001666	U+12187	oNOTO
o0001668	U+12188	oNOTO
o0001662	U+12189	oNOTO
o0001663	U+1218A	oNOTO
o0001667	U+1218B	oNOTO
o0001671	U+1218C	oNOTO
o0000277	U+1218D	oNOTO
o0001677	U+1218E	oNOTO
o0000263	U+1218F	oNOTO
o0000265	U+12190	oNOTO
o0000266	U+12191	oNOTO
o0000267	U+12192	oNOTO
o0000268	U+12193	oNOTO
o0001571	U+12194	oNOTO
o0000269	U+12195	oNOTO
o0001575	U+12196	oNOTO
o0000270	U+12197	oNOTO
o0001578	U+12198	oNOTO
o0001576	U+12199	oNOTO
o0000272	U+1219A	oNOTO
o0000273	U+1219B	oNOTO
o0000275	U+1219C	oNOTO
o0001581	U+1219D	oNOTO
o0000625	U+1219E	oNOTO
o0000278	U+1219F	oNOTO
o0000279	U+121A0	oNOTO
o0001741	U+121A1	oNOTO
o0001743	U+121A2	oNOTO
o0001742	U+121A3	oNOTO
o0000281	U+121A4	oNOTO
o0000282	U+121A5	oNOTO
o0000284	U+121A6	oNOTO
o0000286	U+121A7	oNOTO
o0000285	U+121A8	oNOTO
o0001740	U+121A9	oNOTO
o0000289	U+121AA	oNOTO
o0000289	U+121AA	oNOTO
o0001746	U+121AB	oNOTO
o0000296	U+121AC	oNOTO
o0000297	U+121AD	oNOTO
o0000298	U+121AE	oNOTO
o0000299	U+121AF	oNOTO
o0000291	U+121B0	oNOTO
o0000293	U+121B2	oNOTO
o0000294	U+121B3	oNOTO
o0001762	U+121B4	oNOTO
o0000295	U+121B5	oNOTO
o0000300	U+121B6	oNOTO
o0000305	U+121B7	oNOTO
o0000306	U+121B8	oNOTO
o0001800	U+121B9	oNOTO
o0001775	U+121BA	oNOTO
o0001776	U+121BB	oNOTO
o0001777	U+121BC	oNOTO
o0001798	U+121BD	oNOTO
o0001799	U+121BE	oNOTO
o0001802	U+121BF	oNOTO
o0001804	U+121C0	oNOTO
o0001805	U+121C1	oNOTO
o0001806	U+121C2	oNOTO
o0001807	U+121C3	oNOTO
o0001809	U+121C4	oNOTO
o0001808	U+121C5	oNOTO
o0001811	U+121C6	oNOTO
o0001778	U+121C7	oNOTO
o0001815	U+121C8	oNOTO
o0001814	U+121C9	oNOTO
o0001816	U+121CA	oNOTO
o0001817	U+121CB	oNOTO
o0001818	U+121CC	oNOTO
o0001781	U+121CD	oNOTO
o0023056	U+121CE	oNOTO
o0001820	U+121CF	oNOTO
o0001819	U+121D0	oNOTO
o0001822	U+121D1	oNOTO
o0001821	U+121D2	oNOTO
o0001783	U+121D3	oNOTO
o0001823	U+121D4	oNOTO
o0001801	U+121D5	oNOTO
o0001828	U+121D6	oNOTO
o0001827	U+121D7	oNOTO
o0001829	U+121D8	oNOTO
o0001784	U+121D9	oNOTO
o0001830	U+121DA	oNOTO
o0001831	U+121DB	oNOTO
o0001791	U+121DC	oNOTO
o0001793	U+121DD	oNOTO
o0001794	U+121DE	oNOTO
o0001843	U+121DF	oNOTO
o0001795	U+121E0	oNOTO
o0001832	U+121E1	oNOTO
o0001833	U+121E2	oNOTO
o0001834	U+121E3	oNOTO
o0001785	U+121E4	oNOTO
o0001838	U+121E5	oNOTO
o0001786	U+121E6	oNOTO
o0001788	U+121E7	oNOTO
o0001789	U+121E8	oNOTO
o0001836	U+121E9	oNOTO
o0001839	U+121EA	oNOTO
o0000650	U+121EB	oNOTO
o0000307	U+121EC	oNOTO
o0001853	U+121ED	oNOTO
o0001851	U+121EE	oNOTO
o0000308	U+121EF	oNOTO
o0001847	U+121F0	oNOTO
o0000309	U+121F1	oNOTO
o0000422	U+121F2	oNOTO
o0000423	U+121F3	oNOTO
o0000424	U+121F4	oNOTO
o0001906	U+121F5	oNOTO
o0001904	U+121F6	oNOTO
o0000425	U+121F7	oNOTO
o0000426	U+121F8	oNOTO
o0000431	U+121FA	oNOTO
o0000433	U+121FB	oNOTO
o0001928	U+121FC	oNOTO
o0000439	U+121FD	oNOTO
o0001964	U+121FE	oNOTO
o0001967	U+121FF	oNOTO
o0001971	U+12200	oNOTO
o0001970	U+12201	oNOTO
o0001973	U+12202	oNOTO
o0001975	U+12203	oNOTO
o0001976	U+12204	oNOTO
o0001977	U+12205	oNOTO
o0001978	U+12206	oNOTO
o0001958	U+12207	oNOTO
o0001979	U+12208	oNOTO
o0001959	U+12209	oNOTO
o0001980	U+1220A	oNOTO
o0001960	U+1220B	oNOTO
o0001981	U+1220C	oNOTO
o0001982	U+1220D	oNOTO
o0001962	U+1220E	oNOTO
o0001963	U+1220F	oNOTO
o0001985	U+12210	oNOTO
o0000441	U+12211	oNOTO
o0001929	U+12212	oNOTO
o0001953	U+12213	oNOTO
o0000651	U+12214	oNOTO
o0000440	U+12215	oNOTO
o0000443	U+12216	oNOTO
o0000434	U+12217	oNOTO
o0001912	U+12218	oNOTO
o0001917	U+12219	oNOTO
o0000435	U+1221A	oNOTO
o0000436	U+1221B	oNOTO
o0000437	U+1221C	oNOTO
o0000438	U+1221D	oNOTO
o0001926	U+1221E	oNOTO
o0001924	U+1221F	oNOTO
o0000444	U+12220	oNOTO
o0001989	U+12221	oNOTO
o0000445	U+12222	oNOTO
o0000452	U+12223	oNOTO
o0000446	U+12224	oNOTO
o0000448	U+12225	oNOTO
o0000449	U+12226	oNOTO
o0000451	U+12227	oNOTO
o0000453	U+12228	oNOTO
o0000454	U+12229	oNOTO
o0000455	U+1222A	oNOTO
o0000456	U+1222B	oNOTO
o0000457	U+1222C	oNOTO
o0002016	U+1222D	oNOTO
o0000458	U+1222E	oNOTO
o0000459	U+1222F	oNOTO
o0000460	U+12230	oNOTO
o0000461	U+12231	oNOTO
o0000463	U+12232	oNOTO
o0002032	U+12233	oNOTO
o0002033	U+12234	oNOTO
o0002035	U+12235	oNOTO
o0002024	U+12236	oNOTO
o0002025	U+12237	oNOTO
o0002021	U+12238	oNOTO
o0000466	U+12239	oNOTO
o0002049	U+1223A	oNOTO
o0002048	U+1223B	oNOTO
o0002050	U+1223C	oNOTO
o0000467	U+1223D	oNOTO
o0000469	U+1223E	oNOTO
o0000476	U+1223F	oNOTO
o0000470	U+12240	oNOTO
o0000471	U+12241	oNOTO
o0002057	U+12242	oNOTO
o0002052	U+12243	oNOTO
o0000473	U+12244	oNOTO
o0000130	U+12245	oNOTO
o0000474	U+12246	oNOTO
o0000475	U+12247	oNOTO
o0000477	U+12248	oNOTO
o0002070	U+12249	oNOTO
o0002071	U+1224A	oNOTO
o0000478	U+1224B	oNOTO
o0000479	U+1224C	oNOTO
o0002120	U+1224D	oNOTO
o0000486	U+1224E	oNOTO
o0000482	U+1224F	oNOTO
o0002081	U+12250	oNOTO
o0002080	U+12251	oNOTO
o0000483	U+12252	oNOTO
o0002095	U+12253	oNOTO
o0002096	U+12254	oNOTO
o0002083	U+12255	oNOTO
o0002102	U+12256	oNOTO
o0002085	U+12257	oNOTO
o0002109	U+12258	oNOTO
o0002111	U+12259	oNOTO
o0002118	U+1225A	oNOTO
o0002089	U+1225B	oNOTO
o0002093	U+1225C	oNOTO
o0002094	U+1225D	oNOTO
o0002088	U+1225E	oNOTO
o0002114	U+1225F	oNOTO
o0000485	U+12260	oNOTO
o0000487	U+12261	oNOTO
o0000491	U+12262	oNOTO
o0000488	U+12263	oNOTO
o0002126	U+12264	oNOTO
o0002127	U+12265	oNOTO
o0002129	U+12266	oNOTO
o0000630	U+12267	oNOTO
o0002130	U+12268	oNOTO
o0000489	U+12269	oNOTO
o0002123	U+1226A	oNOTO
o0002122	U+1226B	oNOTO
o0002121	U+1226C	oNOTO
o0000490	U+1226D	oNOTO
o0002146	U+1226E	oNOTO
o0002147	U+1226F	oNOTO
o0002148	U+12270	oNOTO
o0002149	U+12271	oNOTO
o0002150	U+12272	oNOTO
o0002151	U+12273	oNOTO
o0002152	U+12274	oNOTO
o0002153	U+12275	oNOTO
o0002154	U+12276	oNOTO
o0002155	U+12277	oNOTO
o0002162	U+12278	oNOTO
o0002161	U+12279	oNOTO
o0000497	U+1227A	oNOTO
o0000498	U+1227B	oNOTO
o0000499	U+1227C	oNOTO
o0000500	U+1227D	oNOTO
o0000501	U+1227E	oNOTO
o0000502	U+1227F	oNOTO
o0002247	U+12280	oNOTO
o0002246	U+12281	oNOTO
o0002248	U+12282	oNOTO
o0002249	U+12283	oNOTO
o0002250	U+12284	oNOTO
o0002252	U+12285	oNOTO
o0002251	U+12286	oNOTO
o0002253	U+12287	oNOTO
o0002254	U+12288	oNOTO
o0002235	U+12289	oNOTO
o0000503	U+1228A	oNOTO
o0002243	U+1228B	oNOTO
o0002244	U+1228C	oNOTO
o0002245	U+1228D	oNOTO
o0002242	U+1228E	oNOTO
o0000510	U+1228F	oNOTO
o0000511	U+12290	oNOTO
o0000514	U+12291	oNOTO
o0000516	U+12292	oNOTO
o0000517	U+12293	oNOTO
o0000520	U+12294	oNOTO
o0000518	U+12295	oNOTO
o0002272	U+12296	oNOTO
o0002274	U+12297	oNOTO
o0002273	U+12298	oNOTO
o0002277	U+12299	oNOTO
o0002279	U+1229A	oNOTO
o0002280	U+1229B	oNOTO
o0002281	U+1229C	oNOTO
o0002282	U+1229D	oNOTO
o0002283	U+1229E	oNOTO
o0002284	U+1229F	oNOTO
o0002293	U+122A0	oNOTO
o0031495	U+122A1	oNOTO
o0002292	U+122A2	oNOTO
o0002287	U+122A3	oNOTO
o0002288	U+122A4	oNOTO
o0002289	U+122A5	oNOTO
o0002291	U+122A6	oNOTO
o0002263	U+122A7	oNOTO
o0000519	U+122A8	oNOTO
o0000522	U+122A9	oNOTO
o0000523	U+122AB	oNOTO
o0000524	U+122AC	oNOTO
o0002824	U+122AD	oNOTO
o0002828	U+122AE	oNOTO
o0002695	U+122AF	oNOTO
o0002696	U+122B0	oNOTO
o0002697	U+122B1	oNOTO
o0002698	U+122B2	oNOTO
o0002703	U+122B3	oNOTO
o0002701	U+122B4	oNOTO
o0002702	U+122B5	oNOTO
o0002694	U+122B6	oNOTO
o0002829	U+122B7	oNOTO
o0002825	U+122B8	oNOTO
o0002827	U+122B9	oNOTO
o0002827	U+122B9	oNOTO
o0002831	U+122BA	oNOTO
